Reported by,Origin (prefectures),Origin (district),Origin (municipality),Origin (Other),Food category,Item,Day of collection,Result found Date,134Cs Radioactivity concentration (Bq/kg),134Cs detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs detection limit (Bq/kg),134Cs + 137Cs Radioactivity concentration (Bq/kg),134Cs + 137Cs detection limit (Bq/kg),134Cs + 137Cs  exceeded reference value, Remarks
Fukushima prefecture,Fukushima prefecture,Kenchu,Ishikawa county Hirata village,E644,Wild birds and animals,Wild boar,2011-09-13,2011-10-20,,,,,1.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B244,Wild birds and animals,Wild boar,2011-09-15,2011-11-25,,,,,6.2E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-09-21,2011-11-17,,,,,8.8E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B244,Wild birds and animals,Wild boar,2011-09-22,2011-11-17,,,,,1.6E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Wild boar,2011-09-25,2011-11-17,,,,,7.0E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E324,Wild birds and animals,Wild boar,2011-09-26,2011-10-13,,,,,7.7E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Samegawa village,E443,Wild birds and animals,Wild boar,2011-10-01,2011-10-20,,,,,3.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Hinoemata village,D322,Wild birds and animals,Japanese sika deer,2011-10-02,2011-10-20,,,,,4.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E574,Wild birds and animals,Wild boar,2011-10-02,2011-10-29,,,,,1.1E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Nishishirakawa county Nishigo village,E602,Wild birds and animals,Wild boar,2011-10-05,2011-10-13,,,,,9.8E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B471,Wild birds and animals,Wild boar,2011-10-07,2011-10-13,,,,,2.3E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B444,Wild birds and animals,Wild boar,2011-10-07,2011-10-20,,,,,1.0E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B444,Wild birds and animals,Wild boar,2011-10-07,2011-10-20,,,,,1.1E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E354,Wild birds and animals,Wild boar,2011-10-07,2011-11-04,,,,,3.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-10-07,2011-11-17,,,,,1.0E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Shimogo town,D673,Wild birds and animals,Black bear,2011-10-08,2011-10-29,,,,,4.3E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E354,Wild birds and animals,Wild boar,2011-10-10,2011-11-04,,,,,6.5E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B443,Wild birds and animals,Wild boar,2011-10-13,2011-10-20,,,,,1.3E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Sukagawa city,E732,Wild birds and animals,Wild boar,2011-10-14,2011-10-20,,,,,1.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B464,Wild birds and animals,Wild boar,2011-10-17,2011-10-20,,,,,4.1E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Samegawa village,E441,Wild birds and animals,Wild boar,2011-10-17,2011-10-29,,,,,5.8E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date county Kawamata town,B442,Wild birds and animals,Wild boar,2011-10-19,2011-10-29,,,,,1.0E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Aizuwakamatsu city,A173,Wild birds and animals,Ducks,2011-10-19,2011-10-29,,,,,ND,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Aizuwakamatsu city,A173,Wild birds and animals,Ducks,2011-10-19,2011-10-29,,,,,ND,,,
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E333,Wild birds and animals,Pheasant,2011-10-19,2011-10-29,,,,,ND,,,
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Wild boar,2011-10-19,2011-11-04,,,,,3.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Ducks,2011-10-19,2011-11-04,,,,,5.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B562,Wild birds and animals,Pheasant,2011-10-19,2011-11-04,,,,,1.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E333,Wild birds and animals,Ducks,2011-10-20,2011-10-29,,,,,1.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Minamiaizu town,D554,Wild birds and animals,Ducks,2011-10-20,2011-10-29,,,,,ND,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B731,Wild birds and animals,Copper pheasant,2011-10-20,2011-10-29,,,,,7.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Ishikawa county Hirata village,E642,Wild birds and animals,Wild boar,2011-10-21,2011-10-29,,,,,2.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Ishikawa county Tamakawa village,E631,Wild birds and animals,Ducks,2011-10-21,2011-10-29,,,,,1.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Ishikawa county Tamakawa village,E631,Wild birds and animals,Ducks,2011-10-21,2011-10-29,,,,,ND,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B442,Wild birds and animals,Copper pheasant,2011-10-21,2011-10-29,,,,,4.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Sukagawa city,E732,Wild birds and animals,Wild boar,2011-10-22,2011-10-29,,,,,1.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E333,Wild birds and animals,Wild boar,2011-10-22,2011-10-29,,,,,7.7E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-10-22,2011-11-25,,,,,1.6E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E562,Wild birds and animals,Pheasant,2011-10-24,2011-10-29,,,,,1.8E+01,,,
Fukushima prefecture,Fukushima prefecture,Kennan,Nishishirakawa county Nishigo village,E513,Wild birds and animals,Ducks,2011-10-24,2011-11-04,,,,,1.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Nishishirakawa county Nishigo village,E513,Wild birds and animals,Ducks,2011-10-24,2011-11-04,,,,,1.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-10-24,2011-11-17,,,,,6.9E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Hanawa town,E332,Wild birds and animals,Wild boar,2011-10-25,2011-10-29,,,,,3.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Wild boar,2011-10-25,2011-10-29,,,,,1.0E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Nishishirakawa county Nishigo village,E511,Wild birds and animals,Pheasant,2011-10-25,2011-10-29,,,,,1.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B034,Wild birds and animals,Pheasant,2011-10-25,2011-11-04,,,,,4.2E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B034,Wild birds and animals,Pheasant,2011-10-25,2011-11-04,,,,,4.3E+01,,,
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B464,Wild birds and animals,Wild boar,2011-10-25,2011-11-17,,,,,3.7E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Kitakata city,A473,Wild birds and animals,Black bear,2011-10-26,2011-10-29,,,,,8.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B544,Wild birds and animals,Ducks,2011-10-26,2011-11-04,,,,,3.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Ducks,2011-10-26,2011-11-04,,,,,6.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Date county Kawamata town,B442,Wild birds and animals,Wild boar,2011-10-27,2011-11-04,,,,,8.7E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B562,Wild birds and animals,Pheasant,2011-10-27,2011-11-04,,,,,1.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B562,Wild birds and animals,Pheasant,2011-10-27,2011-11-04,,,,,3.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B552,Wild birds and animals,Wild boar,2011-10-29,2011-11-04,,,,,5.7E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Aizuwakamatsu city,A073,Wild birds and animals,Copper pheasant,2011-10-29,2011-11-04,,,,,2.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E363,Wild birds and animals,Ducks,2011-10-29,2011-11-07,,,,,8.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-10-31,2011-11-04,,,,,7.4E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B322,Wild birds and animals,Wild boar,2011-10-31,2011-11-04,,,,,1.0E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B472,Wild birds and animals,Wild boar,2011-10-31,2011-11-04,,,,,1.7E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B474,Wild birds and animals,Pheasant,2011-10-31,2011-11-11,,,,,3.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Tamura county Ono town,E751,Wild birds and animals,Copper pheasant,2011-11-01,2011-11-07,,,,,4.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kennan,Shirakawa city,E414,Wild birds and animals,Wild boar,2011-11-04,2011-11-07,,,,,1.1E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Shirakawa city,E412,Wild birds and animals,Wild boar,2011-11-07,2011-11-11,,,,,1.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B244,Wild birds and animals,Wild boar,2011-11-08,2011-11-11,,,,,8.2E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Wild boar,2011-11-09,2011-11-11,,,,,3.9E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E363,Wild birds and animals,Ducks,2011-11-09,2011-11-11,,,,,5.8E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Kitakata city,A471,Wild birds and animals,Ducks,2011-11-09,2011-11-11,ND,<1.6E+01,ND,<1.4E+01,,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Kitakata city,A471,Wild birds and animals,Pheasant,2011-11-09,2011-11-11,ND,<1.2E+01,ND,<8.5E+00,,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Copper pheasant,2011-11-13,2011-11-25,,,,,1.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Shirakawa city,E412,Wild birds and animals,Wild boar,2011-11-15,2011-11-25,,,,,9.4E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B642,Wild birds and animals,Ducks,2011-11-15,2011-11-25,,,,,6.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Pheasant,2011-11-15,2011-11-25,,,,,7.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B341,Wild birds and animals,Pheasant,2011-11-15,2011-11-25,,,,,2.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date county Kawamata town,B344,Wild birds and animals,Ducks,2011-11-16,2011-11-25,,,,,8.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B241,Wild birds and animals,Pheasant,2011-11-16,2011-11-25,,,,,2.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
